date_short;total_infections;daily_infections
01.09.2021;686092;2034
02.09.2021;687474;1382
03.09.2021;689294;1820
04.09.2021;691081;1787
05.09.2021;692837;1756
06.09.2021;694209;1372
07.09.2021;695411;1202
08.09.2021;697970;2559
09.09.2021;700283;2313
10.09.2021;702775;2492
11.09.2021;705137;2362
12.09.2021;706874;1737
13.09.2021;708184;1310
14.09.2021;710193;2009
15.09.2021;712640;2447
16.09.2021;714976;2336
17.09.2021;717339;2363
18.09.2021;719253;1914
19.09.2021;720906;1653
20.09.2021;722177;1271
21.09.2021;723624;1447
22.09.2021;725593;1969
23.09.2021;727316;1723
24.09.2021;729061;1745
25.09.2021;730993;1932
26.09.2021;732607;1614
27.09.2021;733815;1208
28.09.2021;735563;1748
29.09.2021;737679;2116
30.09.2021;739807;2128
01.10.2021;741646;1839
02.10.2021;743390;1744
03.10.2021;745103;1713
04.10.2021;746368;1265
05.10.2021;747726;1358
06.10.2021;750538;2812
07.10.2021;752553;2015
08.10.2021;754405;1852
09.10.2021;756133;1728
10.10.2021;757798;1665
11.10.2021;759086;1288
12.10.2021;760820;1734
13.10.2021;763258;2438
14.10.2021;765342;2084
15.10.2021;768072;2730
16.10.2021;770503;2431
17.10.2021;772606;2103
18.10.2021;774290;1684
19.10.2021;777340;3050
20.10.2021;781071;3731
21.10.2021;784973;3902
22.10.2021;788639;3666
23.10.2021;792391;3752
24.10.2021;795052;2661
25.10.2021;798559;3507
26.10.2021;802168;3609
27.10.2021;806320;4152
28.10.2021;811142;4822
29.10.2021;817458;6316
30.10.2021;823587;6129
31.10.2021;829434;5847
01.11.2021;833487;4053
02.11.2021;838564;5077
03.11.2021;846297;7733
04.11.2021;854663;8366
05.11.2021;864480;9817
06.11.2021;874407;9927
07.11.2021;882563;8156
08.11.2021;890434;7871
09.11.2021;898702;8268
10.11.2021;910278;11576
11.11.2021;920961;10683
12.11.2021;932001;11040
13.11.2021;948048;16047
14.11.2021;na;na
15.11.2021;970459;22411
16.11.2021;982111;11652
17.11.2021;994995;12884
18.11.2021;1012433;17438
19.11.2021;1025592;13159
20.11.2021;1040054;14462
21.11.2021;1057273;17219
22.11.2021;1069656;12383
23.11.2021;1081888;12232
24.11.2021;1095948;14060
25.11.2021;1110104;14156
26.11.2021;1121885;11781
27.11.2021;1133735;11850
28.11.2021;1143489;9754
29.11.2021;1151113;7624
30.11.2021;1159795;8682
01.12.2021;1170890;11095
02.12.2021;1179758;8868
03.12.2021;1184579;4821
04.12.2021;1192341;7762
05.12.2021;1197524;5183
06.12.2021;1200351;2827
07.12.2021;1206930;6579
08.12.2021;1212494;5564
09.12.2021;1215935;3441
10.12.2021;1220153;4218
11.12.2021;1223870;3717
12.12.2021;1227342;3472
13.12.2021;1230226;2884
14.12.2021;1234027;3801
15.12.2021;1237171;3144
16.12.2021;1239657;2486
17.12.2021;1242189;2532
18.12.2021;1244423;2234
19.12.2021;1246566;2143
20.12.2021;1248294;1728
21.12.2021;1250819;2525
22.12.2021;1253283;2464
23.12.2021;1255273;1990
24.12.2021;1257545;2272
25.12.2021;1259637;2092
26.12.2021;1261230;1593
27.12.2021;1263308;2078
28.12.2021;1265911;2603
29.12.2021;1269090;3179
30.12.2021;1272313;3223
31.12.2021;1276031;3718
01.01.2022;1279383;3352
02.01.2022;1282880;3497
03.01.2022;1286669;3789
04.01.2022;1293468;6799
05.01.2022;1304193;10725
06.01.2022;1312899;8706
07.01.2022;1321196;8297
08.01.2022;1328821;7625
09.01.2022;1339501;10680
10.01.2022;1350343;10842
11.01.2022;1361979;11636
12.01.2022;1380406;18427
13.01.2022;1397067;16661
14.01.2022;1414340;17273
15.01.2022;1431786;17446
16.01.2022;1446803;15017
17.01.2022;1463306;16503
18.01.2022;1480649;17343
19.01.2022;1511719;31070
20.01.2022;1537311;25592
21.01.2022;1565893;28582
22.01.2022;1594068;28175
23.01.2022;1616647;22579
24.01.2022;1641259;24612
25.01.2022;1666174;24915
26.01.2022;1703547;37373
27.01.2022;1741983;38436
28.01.2022;1781486;39503
29.01.2022;1814214;32728
30.01.2022;1840568;26354
31.01.2022;1869808;29240
